harga,LB,LL,kamar_tidur,kamar_mandi,proyek,alamat,telp,email,atap,dinding,lantai,unit_subsidi,unit_komersil,longlat,kabupaten_kota
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 102m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRIYA MANDIRI,"RUKO ROYAL PLATINUM II NO 8 MM, JL. MELATI no. 8 MM RIAU, KOTA PEKANBARU,
              Tampan, Simpangbaru",Telp : 081261456664,Email : pt.rancakbasamoproperti@gmail.com,a. Atap  Atap Genteng Metal,b. Dinding  Dinding Diplaster dan dicat,c. Lantai & Pondasi  Keramik & Sloof Balok,Subsidi : 120 Unit,Komersil : 0 Unit,"0.604319, 101.418648","JC39+PFC Rumbai Bukit, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GREEN ZUHRI RESIDENCE 1,"Jalan Tuanku Tambusai  no. 34 B RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 081296135262,Email : ptrizqy01@gmail.com,a. Atap  longspan/seng warna,"b. Dinding  Batu Bata Merah, Plaster Luar Dalam + Cat",c. Lantai & Pondasi  Keramik & Pondasi Slof Beton Bertulang,Subsidi : 10 Unit,Komersil : 0 Unit,"0.713701, 100.524364","PG7F+FPQ Ujung Batu, Rokan Hulu Regency, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 96m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,BUKIT PERMATA ASRI TAHAP 5,"Jl. Paus  no. 7F RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Tengah",Telp : 085274433284,Email : ptpermatagrahasejahtera@gmail.com,a. Atap  Genteng Metal,b. Dinding  Batu Bata Plester Luar Dalam,c. Lantai & Pondasi  Keramik & Tapak Beton,Subsidi : 13 Unit,Komersil : 0 Unit,"0.575718, 101.458501","HFG5+7CJ Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,SANUR REGENCY,"JL TUANKU TAMBUSAI GG MAWAR no. 03 RIAU, KAB KAMPAR,
              Tambang, Kualu",Telp : 085356877631,Email : antobule03@gmail.com,a. Atap  longspan,b. Dinding  finising aci dan cat,c. Lantai & Pondasi  keramik 40x40 & plat beton,Subsidi : 6 Unit,Komersil : 0 Unit,"0.575718, 101.458501","HFG5+7CJ Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 101m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Pebatuan Cipta Residence II,"Jl. Air Hitam Perum. Orchid Residence no. 04 RIAU, KOTA PEKANBARU,
              Tampan, Binawidya",Telp : 081275193737,Email : kpekanrealty@gmail.com,a. Atap  BAJA RINGAN + ATAP SPANDEK,b. Dinding  BATU BATA + PLESTER,c. Lantai & Pondasi  KERAMIK 40 X 40 & BATU BATA + BETON BERTULANG,Subsidi : 51 Unit,Komersil : 0 Unit,"0.458561, 101.508228","FG55+C7H Kulim, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 114m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,UTAMA RESIDENCE,"Jl. Garuda no. 35 RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Tengah",Telp : 082284838474,Email : propertindou@gmail.com,a. Atap  Genteng Metal,b. Dinding  Bata Plester Aci,c. Lantai & Pondasi  Keramik 40x40 & Kualitas SNI,Subsidi : 10 Unit,Komersil : 0 Unit,"0.563902,101.483741","HF7M+HF9 Limbungan, Kota Pekanbaru, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GARUDA RESIDENCE 3,"JL. PIPA KM 6 PERAWANG no. C-11 RIAU, KAB SIAK,
              Tualang, Perawang",Telp : 0811-7606-500,Email : ptvalentinohokkipertama180786@gmail.com,a. Atap  SPANDEK,b. Dinding  BATA - PLESTER - ACI,c. Lantai & Pondasi  KERAMIK & TAPAK BETON BERTULANG,Subsidi : 61 Unit,Komersil : 0 Unit,"0.679762, 101.598811","MHHX+WG3 Perawang, Kabupaten Siak, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 96m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,WAHANA KULIM,"Jl. Soekarno Hatta no. 89 RIAU, KOTA PEKANBARU,
              Tampan, Delima",Telp : 082390097007,Email : Wgmandiri88@gmail.com,a. Atap  BAJA RINGAN,b. Dinding  BATU BATA DI PLASTER,c. Lantai & Pondasi  GRANIT 60 X 60 CM & BETON BERTULANG,Subsidi : 42 Unit,Komersil : 0 Unit,"0.480837, 101.520735","FGJC+87Q Kulim, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 106m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN KARYATAMA VILLAGE,"Jl. Soekarno Hatta, Komplek Sentral Bisnis Blok C III  no. 06 RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Barat",Telp : 085271437210,Email : adhitama.jp@gmail.com,a. Atap  Baja Ringan,b. Dinding  Batu Bata,c. Lantai & Pondasi  Keramik & Pondasi Sloof Bertulang,Subsidi : 43 Unit,Komersil : 0 Unit,"0.610242, 101.403421","JC63+39V Rumbai Bukit, Kota Pekanbaru, Riau, Indonesia"
"Harga:
                    Rp 166.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 112m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,CANTIKA 3,"PERUM FATHIKA RESIDENCE no. C-01 RIAU, KOTA PEKANBARU,
              Tampan, Tuahmadani",Telp : 085376853996,Email : cantikarumahidamanhati@gmail.com,"a. Atap  Baja Ringan, atap Multi Roof",b. Dinding  Dinding Batu Bata Merah Di Plaster Luar Dalam,"c. Lantai & Pondasi  Lantai dan Teras Granit 60 x 60 - Lantai Kamar Mandi Keramik & Pondasi Cor Setempat, Slof Beton dengan Tulang Besi 10 mm",Subsidi : 33 Unit,Komersil : 0 Unit,"0.459053, 101.333992","F85M+JHH Rimba Panjang, Kampar Regency, Riau, Indonesia"
